Date,SP500,BTU,MRNA,ACH,BX,CCJ,ASML,HNP,HCC,SE,HCA,MS,DHR,CARR,GOOG,AQUA,URE,GRMN,TRI
2019-09-09,,,,,,,,,,,,,,,,,,,
2019-09-16,,,,,,,,,,,,,,,,,,,
2019-09-23,,,,,,,,,,,,,,,,,,,
2019-09-30,,,,,,,,,,,,,,,,,,,
2019-10-07,,,,,,,,,,,,,,,,,,,
2019-10-14,,,,,,,,,,,,,,,,,,,
2019-10-21,,,,,,,,,,,,,,,,,,,
2019-10-28,,,,,,,,,,,,,,,,,,,
2019-11-04,,,,,,,,,,,,,,,,,,,
2019-11-11,,,,,,,,,,,,,,,,,,,
2019-11-18,,,,,,,,,,,,,,,,,,,
2019-11-25,,,,,,,,,,,,,,,,,,,
2019-12-02,,,,,,,,,,,,,,,,,,,
2019-12-09,,,,,,,,,,,,,,,,,,,
2019-12-16,,,,,,,,,,,,,,,,,,,
2019-12-23,,,,,,,,,,,,,,,,,,,
2019-12-30,,,,,,,,,,,,,,,,,,,
2020-01-06,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,
2020-02-03,,,,,,,,,,,,,,,,,,,
2020-02-10,,,,,,,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,,,,,,,
2020-02-24,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,,,,,,,,
2020-04-06,,,,,,,,,,,,,,,,,,,
2020-04-13,,,,,,,,,,,,,,,,,,,
2020-04-20,,,,,,,,,,,,,,,,,,,
2020-04-27,,,,,,,,,,,,,,,,,,,
2020-05-04,,,,,,,,,,,,,,,,,,,
2020-05-11,,,,,,,,,,,,,,,,,,,
2020-05-18,,,,,,,,,,,,,,,,,,,
2020-05-25,,,,,,,,,,,,,,,,,,,
2020-06-01,,,,,,,,,,,,,,,,,,,
2020-06-08,,,,,,,,,,,,,,,,,,,
2020-06-15,,,,,,,,,,,,,,,,,,,
2020-06-22,,,,,,,,,,,,,,,,,,,
2020-06-29,,,,,,,,,,,,,,,,,,,
2020-07-06,,,,,,,,,,,,,,,,,,,
2020-07-13,,,,,,,,,,,,,,,,,,,
2020-07-20,,,,,,,,,,,,,,,,,,,
2020-07-27,,,,,,,,,,,,,,,,,,,
2020-08-03,,,,,,,,,,,,,,,,,,,
2020-08-10,,,,,,,,,,,,,,,,,,,
2020-08-17,-11.836347882097463,-73.61124139139595,46.784235122750914,-21.563800063155742,-21.18350720549571,-11.117219490847232,-0.5577472047279315,-13.518732074870407,-32.84678469885428,102.40608683081467,-14.118705162349055,-11.925825345988555,4.617768527311747,,-7.045241427270662,-10.431819509802025,-36.54875773039221,-10.394244801825574,-13.090969840800959
2020-08-24,-11.595119488113552,-71.10163643017626,41.552525758690464,-26.597365809075413,-23.276747992460045,-4.406921640684085,-2.0396859793173236,-24.398987231367357,-29.81722121619742,97.06759323759104,-14.232907148823776,-11.48691457295467,0.09430602675274322,,-6.3186314566114055,-9.975026529633336,-35.14188579598643,-11.936840671571474,-15.775134889716519
2020-08-31,-10.370759089735001,-67.17069182041793,33.56817445483852,-26.17041465664881,-20.126982607734924,-7.770105163392138,-2.073531084406483,-23.714811470105236,-20.11845350397462,87.40060114767462,-10.218714697326057,-8.547769375602034,-1.0053019202161144,,-6.158496575134845,-11.580805508535514,-33.14305270974423,-10.477078151091836,-13.838177152978155
2020-09-07,-8.56687952213697,-61.404399811489206,29.802469781879353,-26.289801946876413,-18.694046299831772,-2.8729199490673634,-0.3466050471286548,-22.845120550439617,-11.26971132226361,84.16070140935726,-8.140664653185656,-8.67204948595624,7.409940558109522,,-6.33072745439023,-9.257417043300533,-32.29856924080274,-7.959111524895604,-9.248352425623589
2020-09-14,-8.308856660966399,-43.330531692738134,50.45307424736701,-24.714323887953466,-15.999161576271185,-6.076955757346958,2.001666777597581,-20.572777215116503,4.326993736082843,90.51860084899515,-8.496148852637823,-8.485636886040089,8.599635119110735,,-9.373090776034724,-3.8400497466146093,-30.686941519586885,-10.579416003833007,-7.285935214397559
2020-09-21,-9.535059899886434,-55.81539237928891,44.83208907819627,-33.769853804152525,-19.04514570991107,-10.676947212240197,-0.781497449207293,-22.72467819098071,-11.169651157037116,92.52657627064558,-17.02716588236555,-14.687360845986522,7.629438154753782,,-11.074679267244031,-8.337443016451504,-33.53582735134185,-13.730545838855543,-6.683214700081081
2020-09-28,-9.14032025757264,-63.957774866808634,38.60072039729883,-31.844281577450246,-15.950014163102711,-14.009008550980614,0.236191307269301,-23.214928452422132,-12.381524331998959,84.4675978891636,-13.331812422381443,-13.905823386275406,8.532479109778356,,-11.289354005813955,0.2176848820014213,-26.6211096243197,-13.343495907717184,-6.055110866147259
